tm,MVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+00,9.999999999999787705e-04
7.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+00,9.999999999999787705e-04
1.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,1.000000000000000000e+00,2.499999999999857805e-03
1.600000000000000000e+01,1.000000000000000000e+00,4.999999999999893419e-03
1.700000000000000000e+01,1.000000000000000000e+00,5.749999999999921840e-03
1.800000000000000000e+01,1.000000000000000000e+00,7.249999999999978684e-03
1.900000000000000000e+01,1.000000000000000000e+00,8.249999999999957020e-03
2.000000000000000000e+01,1.000000000000000000e+00,8.249999999999957020e-03
2.100000000000000000e+01,1.000000000000000000e+00,8.249999999999957020e-03
2.200000000000000000e+01,1.000000000000000000e+00,9.750000000000013864e-03
2.300000000000000000e+01,1.000000000000000000e+00,9.750000000000013864e-03
2.400000000000000000e+01,1.000000000000000000e+00,1.549999999999993570e-02
2.500000000000000000e+01,1.000000000000000000e+00,1.624999999999996586e-02
2.600000000000000000e+01,1.000000000000000000e+00,1.624999999999996586e-02
2.700000000000000000e+01,1.000000000000000000e+00,1.624999999999996586e-02
2.800000000000000000e+01,1.000000000000000000e+00,1.624999999999996586e-02
2.900000000000000000e+01,1.000000000000000000e+00,1.874999999999999931e-02
3.000000000000000000e+01,1.000000000000000000e+00,2.424999999999997297e-02
3.100000000000000000e+01,1.000000000000000000e+00,2.424999999999997297e-02
3.200000000000000000e+01,1.000000000000000000e+00,2.424999999999997297e-02
3.300000000000000000e+01,1.000000000000000000e+00,2.500000000000000139e-02
3.400000000000000000e+01,1.000000000000000000e+00,2.599999999999997799e-02
3.500000000000000000e+01,1.000000000000000000e+00,3.149999999999995165e-02
3.600000000000000000e+01,1.000000000000000000e+00,3.224999999999998007e-02
3.700000000000000000e+01,1.000000000000000000e+00,3.224999999999998007e-02
3.800000000000000000e+01,1.000000000000000000e+00,3.224999999999998007e-02
3.900000000000000000e+01,1.000000000000000000e+00,3.224999999999998007e-02
4.000000000000000000e+01,1.000000000000000000e+00,3.949999999999995876e-02
4.100000000000000000e+01,1.000000000000000000e+00,3.949999999999995876e-02
4.200000000000000000e+01,1.000000000000000000e+00,4.049999999999993883e-02
4.300000000000000000e+01,1.000000000000000000e+00,4.049999999999993883e-02
4.400000000000000000e+01,1.000000000000000000e+00,4.199999999999999567e-02
4.500000000000000000e+01,1.000000000000000000e+00,4.849999999999994593e-02
4.600000000000000000e+01,1.000000000000000000e+00,4.849999999999994593e-02
4.700000000000000000e+01,1.000000000000000000e+00,4.849999999999994593e-02
4.800000000000000000e+01,1.000000000000000000e+00,4.849999999999994593e-02
4.900000000000000000e+01,1.000000000000000000e+00,4.849999999999994593e-02
5.000000000000000000e+01,1.000000000000000000e+00,5.175000000000000433e-02
5.100000000000000000e+01,1.000000000000000000e+00,4.849999999999994593e-02
5.200000000000000000e+01,1.000000000000000000e+00,4.374999999999999722e-02
5.300000000000000000e+01,1.000000000000000000e+00,4.849999999999994593e-02
5.400000000000000000e+01,1.000000000000000000e+00,5.099999999999997591e-02
5.500000000000000000e+01,1.000000000000000000e+00,5.499999999999989619e-02
5.600000000000000000e+01,1.000000000000000000e+00,5.649999999999995304e-02
5.700000000000000000e+01,1.000000000000000000e+00,5.649999999999995304e-02
5.800000000000000000e+01,1.000000000000000000e+00,5.649999999999995304e-02
5.900000000000000000e+01,1.000000000000000000e+00,5.649999999999995304e-02
6.000000000000000000e+01,1.000000000000000000e+00,5.724999999999998146e-02
6.100000000000000000e+01,1.000000000000000000e+00,5.724999999999998146e-02
6.200000000000000000e+01,1.000000000000000000e+00,5.975000000000001144e-02
6.300000000000000000e+01,1.000000000000000000e+00,6.374999999999993172e-02
6.400000000000000000e+01,1.000000000000000000e+00,6.374999999999993172e-02
6.500000000000000000e+01,1.000000000000000000e+00,6.449999999999996014e-02
6.600000000000000000e+01,1.000000000000000000e+00,6.449999999999996014e-02
6.700000000000000000e+01,1.000000000000000000e+00,6.449999999999996014e-02
6.800000000000000000e+01,1.000000000000000000e+00,6.949999999999985356e-02
6.900000000000000000e+01,1.000000000000000000e+00,6.775000000000001854e-02
7.000000000000000000e+01,1.000000000000000000e+00,7.274999999999991196e-02
7.100000000000000000e+01,1.000000000000000000e+00,7.274999999999991196e-02
7.200000000000000000e+01,1.000000000000000000e+00,7.274999999999991196e-02
7.300000000000000000e+01,1.000000000000000000e+00,7.675000000000001266e-02
7.400000000000000000e+01,1.000000000000000000e+00,7.824999999999988909e-02
7.500000000000000000e+01,1.000000000000000000e+00,8.074999999999991906e-02
7.600000000000000000e+01,1.000000000000000000e+00,8.074999999999991906e-02
7.700000000000000000e+01,1.000000000000000000e+00,8.074999999999991906e-02
7.800000000000000000e+01,1.000000000000000000e+00,8.074999999999991906e-02
7.900000000000000000e+01,1.000000000000000000e+00,8.074999999999991906e-02
8.000000000000000000e+01,1.000000000000000000e+00,8.224999999999997591e-02
8.100000000000000000e+01,1.000000000000000000e+00,8.799999999999989775e-02
8.200000000000000000e+01,1.000000000000000000e+00,8.874999999999992617e-02
8.300000000000000000e+01,1.000000000000000000e+00,8.874999999999992617e-02
8.400000000000000000e+01,1.000000000000000000e+00,8.874999999999992617e-02
8.500000000000000000e+01,1.000000000000000000e+00,8.874999999999992617e-02
8.600000000000000000e+01,1.000000000000000000e+00,8.949999999999995459e-02
8.700000000000000000e+01,1.000000000000000000e+00,9.199999999999999845e-02
8.800000000000000000e+01,1.000000000000000000e+00,9.449999999999984801e-02
8.900000000000000000e+01,1.000000000000000000e+00,9.599999999999990485e-02
9.000000000000000000e+01,1.000000000000000000e+00,9.674999999999993328e-02
9.100000000000000000e+01,1.000000000000000000e+00,9.674999999999993328e-02
9.200000000000000000e+01,1.000000000000000000e+00,9.674999999999993328e-02
9.300000000000000000e+01,1.000000000000000000e+00,9.674999999999993328e-02
9.400000000000000000e+01,1.000000000000000000e+00,9.749999999999996170e-02
9.500000000000000000e+01,1.000000000000000000e+00,1.024999999999998551e-01
9.600000000000000000e+01,1.000000000000000000e+00,1.039999999999999120e-01
9.700000000000000000e+01,1.000000000000000000e+00,1.047499999999999404e-01
9.800000000000000000e+01,1.000000000000000000e+00,1.047499999999999404e-01
9.900000000000000000e+01,1.000000000000000000e+00,1.047499999999999404e-01
1.000000000000000000e+02,1.000000000000000000e+00,1.064999999999999558e-01
1.010000000000000000e+02,1.000000000000000000e+00,1.089999999999999858e-01
1.020000000000000000e+02,1.000000000000000000e+00,1.089999999999999858e-01
1.030000000000000000e+02,1.000000000000000000e+00,1.104999999999998622e-01
1.040000000000000000e+02,1.000000000000000000e+00,1.129999999999999061e-01
