tm,MVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+00,9.999999999999787705e-04
9.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+00,4.000000000000092024e-03
1.100000000000000000e+01,1.000000000000000000e+00,6.500000000000128071e-03
1.200000000000000000e+01,1.000000000000000000e+00,8.250000000000135697e-03
1.300000000000000000e+01,1.000000000000000000e+00,8.250000000000135697e-03
1.400000000000000000e+01,1.000000000000000000e+00,8.250000000000135697e-03
1.500000000000000000e+01,1.000000000000000000e+00,8.250000000000135697e-03
1.600000000000000000e+01,1.000000000000000000e+00,8.999999999999985442e-03
1.700000000000000000e+01,1.000000000000000000e+00,8.250000000000135697e-03
1.800000000000000000e+01,1.000000000000000000e+00,1.050000000000004229e-02
1.900000000000000000e+01,1.000000000000000000e+00,1.375000000000010589e-02
2.000000000000000000e+01,1.000000000000000000e+00,1.625000000000014280e-02
2.100000000000000000e+01,1.000000000000000000e+00,1.625000000000014280e-02
2.200000000000000000e+01,1.000000000000000000e+00,2.025000000000005615e-02
2.300000000000000000e+01,1.000000000000000000e+00,2.425000000000014991e-02
2.400000000000000000e+01,1.000000000000000000e+00,2.425000000000014991e-02
2.500000000000000000e+01,1.000000000000000000e+00,2.425000000000014991e-02
2.600000000000000000e+01,1.000000000000000000e+00,3.000000000000007175e-02
2.700000000000000000e+01,1.000000000000000000e+00,3.224999999999998007e-02
2.800000000000000000e+01,1.000000000000000000e+00,3.224999999999998007e-02
2.900000000000000000e+01,1.000000000000000000e+00,3.399999999999998856e-02
3.000000000000000000e+01,1.000000000000000000e+00,3.725000000000004696e-02
3.100000000000000000e+01,1.000000000000000000e+00,4.024999999999998718e-02
3.200000000000000000e+01,1.000000000000000000e+00,4.024999999999998718e-02
3.300000000000000000e+01,1.000000000000000000e+00,4.024999999999998718e-02
3.400000000000000000e+01,1.000000000000000000e+00,4.024999999999998718e-02
3.500000000000000000e+01,1.000000000000000000e+00,4.024999999999998718e-02
3.600000000000000000e+01,1.000000000000000000e+00,4.600000000000008249e-02
3.700000000000000000e+01,1.000000000000000000e+00,4.850000000000011940e-02
3.800000000000000000e+01,1.000000000000000000e+00,4.850000000000011940e-02
3.900000000000000000e+01,1.000000000000000000e+00,4.850000000000011940e-02
4.000000000000000000e+01,1.000000000000000000e+00,4.925000000000014783e-02
4.100000000000000000e+01,1.000000000000000000e+00,5.650000000000012651e-02
4.200000000000000000e+01,1.000000000000000000e+00,5.650000000000012651e-02
4.300000000000000000e+01,1.000000000000000000e+00,5.650000000000012651e-02
4.400000000000000000e+01,1.000000000000000000e+00,5.650000000000012651e-02
4.500000000000000000e+01,1.000000000000000000e+00,5.650000000000012651e-02
4.600000000000000000e+01,1.000000000000000000e+00,5.650000000000012651e-02
4.700000000000000000e+01,1.000000000000000000e+00,5.724999999999998146e-02
4.800000000000000000e+01,1.000000000000000000e+00,5.800000000000000988e-02
4.900000000000000000e+01,1.000000000000000000e+00,6.375000000000011213e-02
5.000000000000000000e+01,1.000000000000000000e+00,6.450000000000014055e-02
5.100000000000000000e+01,1.000000000000000000e+00,6.450000000000014055e-02
5.200000000000000000e+01,1.000000000000000000e+00,6.524999999999998856e-02
5.300000000000000000e+01,1.000000000000000000e+00,7.250000000000014766e-02
5.400000000000000000e+01,1.000000000000000000e+00,7.250000000000014766e-02
5.500000000000000000e+01,1.000000000000000000e+00,7.250000000000014766e-02
5.600000000000000000e+01,1.000000000000000000e+00,7.250000000000014766e-02
5.700000000000000000e+01,1.000000000000000000e+00,7.575000000000002565e-02
5.800000000000000000e+01,1.000000000000000000e+00,7.750000000000004108e-02
5.900000000000000000e+01,1.000000000000000000e+00,8.075000000000009948e-02
6.000000000000000000e+01,1.000000000000000000e+00,8.550000000000004818e-02
6.100000000000000000e+01,1.000000000000000000e+00,8.875000000000010658e-02
6.200000000000000000e+01,1.000000000000000000e+00,8.950000000000013500e-02
6.300000000000000000e+01,1.000000000000000000e+00,9.675000000000011369e-02
6.400000000000000000e+01,1.000000000000000000e+00,9.675000000000011369e-02
6.500000000000000000e+01,1.000000000000000000e+00,9.824999999999999012e-02
6.600000000000000000e+01,1.000000000000000000e+00,1.047500000000001208e-01
6.700000000000000000e+01,1.000000000000000000e+00,1.047500000000001208e-01
6.800000000000000000e+01,1.000000000000000000e+00,1.047500000000001208e-01
6.900000000000000000e+01,1.000000000000000000e+00,1.047500000000001208e-01
7.000000000000000000e+01,1.000000000000000000e+00,1.065000000000001223e-01
7.100000000000000000e+01,1.000000000000000000e+00,1.087500000000000411e-01
7.200000000000000000e+01,1.000000000000000000e+00,1.097500000000000142e-01
7.300000000000000000e+01,1.000000000000000000e+00,1.120000000000000995e-01
7.400000000000000000e+01,1.000000000000000000e+00,1.127500000000001279e-01
7.500000000000000000e+01,1.000000000000000000e+00,1.112500000000000711e-01
7.600000000000000000e+01,1.000000000000000000e+00,1.127500000000001279e-01
7.700000000000000000e+01,1.000000000000000000e+00,1.127500000000001279e-01
7.800000000000000000e+01,1.000000000000000000e+00,1.169999999999999929e-01
7.900000000000000000e+01,1.000000000000000000e+00,1.210000000000000797e-01
8.000000000000000000e+01,1.000000000000000000e+00,1.210000000000000797e-01
8.100000000000000000e+01,1.000000000000000000e+00,1.217500000000001081e-01
8.200000000000000000e+01,1.000000000000000000e+00,1.210000000000000797e-01
8.300000000000000000e+01,1.000000000000000000e+00,1.210000000000000797e-01
8.400000000000000000e+01,1.000000000000000000e+00,1.225000000000001366e-01
8.500000000000000000e+01,1.000000000000000000e+00,1.272500000000000853e-01
8.600000000000000000e+01,1.000000000000000000e+00,1.290000000000000868e-01
8.700000000000000000e+01,1.000000000000000000e+00,1.290000000000000868e-01
8.800000000000000000e+01,1.000000000000000000e+00,1.290000000000000868e-01
8.900000000000000000e+01,1.000000000000000000e+00,1.315000000000001168e-01
9.000000000000000000e+01,1.000000000000000000e+00,1.370000000000000939e-01
9.100000000000000000e+01,1.000000000000000000e+00,1.370000000000000939e-01
9.200000000000000000e+01,1.000000000000000000e+00,1.377500000000001223e-01
9.300000000000000000e+01,1.000000000000000000e+00,1.402499999999999858e-01
9.400000000000000000e+01,1.000000000000000000e+00,1.362500000000000655e-01
9.500000000000000000e+01,1.000000000000000000e+00,1.450000000000001010e-01
9.600000000000000000e+01,1.000000000000000000e+00,1.450000000000001010e-01
9.700000000000000000e+01,1.000000000000000000e+00,1.450000000000001010e-01
9.800000000000000000e+01,1.000000000000000000e+00,1.442500000000000726e-01
9.900000000000000000e+01,1.000000000000000000e+00,1.402499999999999858e-01
1.000000000000000000e+02,1.000000000000000000e+00,1.507500000000000229e-01
1.010000000000000000e+02,1.000000000000000000e+00,1.532500000000000528e-01
1.020000000000000000e+02,1.000000000000000000e+00,1.532500000000000528e-01
1.030000000000000000e+02,1.000000000000000000e+00,1.532500000000000528e-01
1.040000000000000000e+02,1.000000000000000000e+00,1.532500000000000528e-01
