t,MAN,MV,MVp,MVi,MVd,MVFF,SP,PV,DV
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.231105455173867114e+02,-7.311054551779199073e+01,4.052826738670293732e-10,0.000000000000000000e+00,4.929999999999999716e+01,1.864000000000000057e+01,5.000000000000000000e+01
1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.231105455173867114e+02,-7.311054551738671137e+01,1.334199641846372468e-21,0.000000000000000000e+00,4.929999999999999716e+01,1.864000000000000057e+01,5.000000000000000000e+01
2.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.231105455173867114e+02,-7.311054551738671137e+01,4.392215110797024172e-33,0.000000000000000000e+00,4.929999999999999716e+01,1.864000000000000057e+01,5.000000000000000000e+01
3.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.231105455173867114e+02,-7.311054551738671137e+01,1.445927054276263904e-44,0.000000000000000000e+00,4.929999999999999716e+01,1.864000000000000057e+01,5.000000000000000000e+01
4.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.229900851010291944e+02,-7.299008510102879654e+01,-3.965583893023921293e-13,0.000000000000000000e+00,4.929999999999999716e+01,1.867000000000000171e+01,5.000000000000000000e+01
5.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.229900851010291944e+02,-7.299008510102919445e+01,-1.305479101610981531e-24,0.000000000000000000e+00,4.929999999999999716e+01,1.867000000000000171e+01,5.000000000000000000e+01
6.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.229900851010291944e+02,-7.299008510102919445e+01,-4.297666448920930613e-36,0.000000000000000000e+00,4.929999999999999716e+01,1.867000000000000171e+01,5.000000000000000000e+01
7.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.228294712125525052e+02,-7.282947121255197942e+01,-5.287445190698248704e-13,0.000000000000000000e+00,4.929999999999999716e+01,1.871000000000000085e+01,5.000000000000000000e+01
8.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.225885503798374572e+02,-7.258855037983666136e+01,-7.931167786064778988e-13,0.000000000000000000e+00,4.929999999999999716e+01,1.876999999999999957e+01,5.000000000000000000e+01
9.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.223074760750032510e+02,-7.230747607500232732e+01,-9.253029083748280410e-13,0.000000000000000000e+00,4.929999999999999716e+01,1.883999999999999986e+01,5.000000000000000000e+01
1.000000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.220665552422882030e+02,-7.206655524228740717e+01,-7.931167786077833942e-13,0.000000000000000000e+00,4.929999999999999716e+01,1.889999999999999858e+01,5.000000000000000000e+01
1.100000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.218256344095731549e+02,-7.182563440957235912e+01,-7.931167786073952494e-13,0.000000000000000000e+00,4.929999999999999716e+01,1.896000000000000085e+01,5.000000000000000000e+01
1.200000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.218256344095731549e+02,-7.182563440957315493e+01,-2.610958203230558498e-24,0.000000000000000000e+00,4.929999999999999716e+01,1.896000000000000085e+01,5.000000000000000000e+01
1.300000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.218256344095731549e+02,-7.182563440957315493e+01,-8.595332897870157786e-36,0.000000000000000000e+00,4.929999999999999716e+01,1.896000000000000085e+01,5.000000000000000000e+01
1.400000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.218256344095731549e+02,-7.182563440957315493e+01,-2.829602845951230793e-47,0.000000000000000000e+00,4.929999999999999716e+01,1.896000000000000085e+01,5.000000000000000000e+01
1.500000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.211430253835472115e+02,-7.114302538354496619e+01,-2.247164206046779428e-12,0.000000000000000000e+00,4.929999999999999716e+01,1.912999999999999901e+01,5.000000000000000000e+01
1.600000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.205005698296404262e+02,-7.050056982963830876e+01,-2.114978076286744107e-12,0.000000000000000000e+00,4.929999999999999716e+01,1.928999999999999915e+01,5.000000000000000000e+01
1.700000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.205005698296404262e+02,-7.050056982964042618e+01,-6.962555208615997176e-24,0.000000000000000000e+00,4.929999999999999716e+01,1.928999999999999915e+01,5.000000000000000000e+01
1.800000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.205005698296404262e+02,-7.050056982964042618e+01,-2.292088772765761980e-35,0.000000000000000000e+00,4.929999999999999716e+01,1.928999999999999915e+01,5.000000000000000000e+01
1.900000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.199785746920911578e+02,-6.997857469208943826e+01,-1.718419686977001410e-12,0.000000000000000000e+00,4.929999999999999716e+01,1.942000000000000171e+01,5.000000000000000000e+01
2.000000000000000000e+01,1.000000000000000000e+00,5.000000000000000711e+01,1.192156587218268697e+02,-6.921565872182435442e+01,-2.511536465587348640e-12,0.000000000000000000e+00,4.929999999999999716e+01,1.960999999999999943e+01,5.000000000000000000e+01
2.100000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.192156587218268697e+02,-6.921565872182686974e+01,-8.268034310221094991e-24,0.000000000000000000e+00,4.929999999999999716e+01,1.960999999999999943e+01,5.000000000000000000e+01
2.200000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.190951983054693386e+02,-6.909519830546894070e+01,-3.965583893023921293e-13,0.000000000000000000e+00,4.929999999999999716e+01,1.964000000000000057e+01,5.000000000000000000e+01
2.300000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.179307476140132991e+02,-6.793074761400946215e+01,-3.833397763257606286e-12,0.000000000000000000e+00,4.929999999999999716e+01,1.992999999999999972e+01,5.000000000000000000e+01
2.400000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.179307476140132991e+02,-6.793074761401329908e+01,-1.261963131557660448e-23,0.000000000000000000e+00,4.929999999999999716e+01,1.992999999999999972e+01,5.000000000000000000e+01
2.500000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.175292128928215618e+02,-6.752921289282024020e+01,-1.321861297674609230e-12,0.000000000000000000e+00,4.929999999999999716e+01,2.003000000000000114e+01,5.000000000000000000e+01
2.600000000000000000e+01,1.000000000000000000e+00,5.000000000000000711e+01,1.166458365061997426e+02,-6.664583650619682942e+01,-2.908094854888435425e-12,0.000000000000000000e+00,4.929999999999999716e+01,2.025000000000000000e+01,5.000000000000000000e+01
2.700000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.166458365061997426e+02,-6.664583650619974264e+01,-9.573513411827778253e-24,0.000000000000000000e+00,4.929999999999999716e+01,2.025000000000000000e+01,5.000000000000000000e+01
2.800000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.161238413686504884e+02,-6.612384136864876893e+01,-1.718419686976954356e-12,0.000000000000000000e+00,4.929999999999999716e+01,2.037999999999999901e+01,5.000000000000000000e+01
2.900000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.153207719262670139e+02,-6.532077192626437068e+01,-2.643722595354828586e-12,0.000000000000000000e+00,4.929999999999999716e+01,2.057999999999999829e+01,5.000000000000000000e+01
3.000000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.153207719262670139e+02,-6.532077192626701390e+01,-8.703194010758140140e-24,0.000000000000000000e+00,4.929999999999999716e+01,2.057999999999999829e+01,5.000000000000000000e+01
