t,MAN,MV,MVp,MVi,MVd,MVFF,SP,PV,DV
0.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.541068468227286417e+02,-8.910684682323596917e+01,5.073231921688748093e-10,0.000000000000000000e+00,5.429999999999999716e+01,2.541000000000000014e+01,5.000000000000000000e+01
1.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.520264844045609607e+02,-8.702648440455411105e+01,-6.848599684929447329e-12,0.000000000000000000e+00,5.429999999999999716e+01,2.580000000000000071e+01,5.000000000000000000e+01
2.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.506929187518893798e+02,-8.569291875188498864e+01,-4.390128004253030759e-12,0.000000000000000000e+00,5.429999999999999716e+01,2.605000000000000071e+01,5.000000000000000000e+01
3.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.501594924908207531e+02,-8.515949249081899097e+01,-1.756051201706609172e-12,0.000000000000000000e+00,5.429999999999999716e+01,2.614999999999999858e+01,5.000000000000000000e+01
4.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.489326120903628805e+02,-8.393261209035884463e+01,-4.038917763897834100e-12,0.000000000000000000e+00,5.429999999999999716e+01,2.637999999999999901e+01,5.000000000000000000e+01
5.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.472256480549432638e+02,-8.222564805493765050e+01,-5.619363845428322398e-12,0.000000000000000000e+00,5.429999999999999716e+01,2.669999999999999929e+01,5.000000000000000000e+01
6.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.455186840195236186e+02,-8.051868401951800536e+01,-5.619363845433525396e-12,0.000000000000000000e+00,5.429999999999999716e+01,2.701999999999999957e+01,5.000000000000000000e+01
7.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.439717478624245928e+02,-7.897174786241950528e+01,-5.092548484925847134e-12,0.000000000000000000e+00,5.429999999999999716e+01,2.730999999999999872e+01,5.000000000000000000e+01
8.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.434383216013559377e+02,-7.843832160135417553e+01,-1.756051201708983883e-12,0.000000000000000000e+00,5.429999999999999716e+01,2.741000000000000014e+01,5.000000000000000000e+01
9.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.420514133225774742e+02,-7.705141332257291253e+01,-4.565733124405512362e-12,0.000000000000000000e+00,5.429999999999999716e+01,2.767000000000000171e+01,5.000000000000000000e+01
1.000000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.405044771654784483e+02,-7.550447716547336086e+01,-5.092548484922378469e-12,0.000000000000000000e+00,5.429999999999999716e+01,2.796000000000000085e+01,5.000000000000000000e+01
1.100000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.398643656521960850e+02,-7.486436565219398176e+01,-2.107261442047352788e-12,0.000000000000000000e+00,5.429999999999999716e+01,2.807999999999999829e+01,5.000000000000000000e+01
1.200000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.386374852517382408e+02,-7.363748525173420489e+01,-4.038917763898990861e-12,0.000000000000000000e+00,5.429999999999999716e+01,2.830999999999999872e+01,5.000000000000000000e+01
1.300000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.376239753557078132e+02,-7.262397535570447360e+01,-3.336497283228487602e-12,0.000000000000000000e+00,5.429999999999999716e+01,2.850000000000000000e+01,5.000000000000000000e+01
1.400000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.369305212163185956e+02,-7.193052121631630769e+01,-2.282866562210818769e-12,0.000000000000000000e+00,5.429999999999999716e+01,2.862999999999999901e+01,5.000000000000000000e+01
1.500000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.353835850592195413e+02,-7.038358505921445385e+01,-5.092548484914924957e-12,0.000000000000000000e+00,5.429999999999999716e+01,2.892000000000000171e+01,5.000000000000000000e+01
1.600000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.336232783976930705e+02,-6.862327839768727245e+01,-5.794968965600975415e-12,0.000000000000000000e+00,5.429999999999999716e+01,2.925000000000000000e+01,5.000000000000000000e+01
1.700000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.334632505193724512e+02,-6.846325051937192541e+01,-5.268153605267553169e-13,0.000000000000000000e+00,5.429999999999999716e+01,2.928000000000000114e+01,5.000000000000000000e+01
1.800000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.327697963799832337e+02,-6.776979637998094574e+01,-2.282866562201569129e-12,0.000000000000000000e+00,5.429999999999999716e+01,2.941000000000000014e+01,5.000000000000000000e+01
1.900000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.317562864839528345e+02,-6.675628648394949494e+01,-3.336497283222706627e-12,0.000000000000000000e+00,5.429999999999999716e+01,2.960000000000000142e+01,5.000000000000000000e+01
2.000000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.300493224485331893e+02,-6.504932244852757606e+01,-5.619363845426009685e-12,0.000000000000000000e+00,5.429999999999999716e+01,2.992000000000000171e+01,5.000000000000000000e+01
2.100000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.300493224485331893e+02,-6.504932244853318934e+01,-1.849907166875747056e-23,0.000000000000000000e+00,5.429999999999999716e+01,2.992000000000000171e+01,5.000000000000000000e+01
2.200000000000000000e+01,1.000000000000000000e+00,6.500000000000001421e+01,1.283423584131135726e+02,-6.334235841310795223e+01,-5.619363845414963916e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.023999999999999844e+01,5.000000000000000000e+01
2.300000000000000000e+01,1.000000000000000000e+00,6.499999999999998579e+01,1.276489042737243409e+02,-6.264890427372206005e+01,-2.282866562218396276e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.037000000000000099e+01,5.000000000000000000e+01
2.400000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.265820517515870733e+02,-6.158205175158356326e+01,-3.512102403391890979e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.057000000000000028e+01,5.000000000000000000e+01
2.500000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.252484860989154924e+02,-6.024848609891110129e+01,-4.390128004242047190e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.082000000000000028e+01,5.000000000000000000e+01
2.600000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.248750877161674424e+02,-5.987508771616621317e+01,-1.229235841198993312e-12,0.000000000000000000e+00,5.429999999999999716e+01,3.089000000000000057e+01,5.000000000000000000e+01
