t,MAN,MV,MVp,MVi,MVd,MVFF,SP,PV,DV
0.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.353975079858539061e+02,-7.039750798629964379e+01,4.457316295758718707e-10,0.000000000000000000e+00,5.429999999999999716e+01,2.057999999999999829e+01,5.000000000000000000e+01
1.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.350361267367813127e+02,-7.003612673678011902e+01,-1.189675166439818111e-12,0.000000000000000000e+00,5.429999999999999716e+01,2.067000000000000171e+01,5.000000000000000000e+01
2.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.342330572943978382e+02,-6.923305729439519496e+01,-2.643722595353135047e-12,0.000000000000000000e+00,5.429999999999999716e+01,2.087000000000000099e+01,5.000000000000000000e+01
3.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.341125968780403355e+02,-6.911259687803993756e+01,-3.965583893110014417e-13,0.000000000000000000e+00,5.429999999999999716e+01,2.089999999999999858e+01,5.000000000000000000e+01
4.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.341125968780403355e+02,-6.911259687804033547e+01,-1.305479101639323619e-24,0.000000000000000000e+00,5.429999999999999716e+01,2.089999999999999858e+01,5.000000000000000000e+01
5.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.339921364616828043e+02,-6.899213646168240643e+01,-3.965583893023921293e-13,0.000000000000000000e+00,5.429999999999999716e+01,2.092999999999999972e+01,5.000000000000000000e+01
6.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.333496809077760190e+02,-6.834968090777390159e+01,-2.114978076280698984e-12,0.000000000000000000e+00,5.429999999999999716e+01,2.108999999999999986e+01,5.000000000000000000e+01
7.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.328276857702267648e+02,-6.782768577022504530e+01,-1.718419686983870078e-12,0.000000000000000000e+00,5.429999999999999716e+01,2.121999999999999886e+01,5.000000000000000000e+01
8.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.328276857702267648e+02,-6.782768577022676482e+01,-5.657076107003429829e-24,0.000000000000000000e+00,5.429999999999999716e+01,2.121999999999999886e+01,5.000000000000000000e+01
9.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.324261510490350418e+02,-6.742615104903372014e+01,-1.321861297674609230e-12,0.000000000000000000e+00,5.429999999999999716e+01,2.132000000000000028e+01,5.000000000000000000e+01
