t,MAN,MV,MVp,MVi,MVd,MVFF,SP,PV,DV
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.114660386028263304e+02,-6.146603860319327595e+01,3.669486962344662900e-10,0.000000000000000000e+00,4.929999999999999716e+01,2.153999999999999915e+01,5.000000000000000000e+01
1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.109440434652770620e+02,-6.094404346527534244e+01,-1.718419685768998031e-12,0.000000000000000000e+00,4.929999999999999716e+01,2.167000000000000171e+01,5.000000000000000000e+01
2.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.113054247143496411e+02,-6.130542471435082774e+01,1.189675167901519561e-12,0.000000000000000000e+00,4.929999999999999716e+01,2.157999999999999829e+01,5.000000000000000000e+01
3.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.109440434652770620e+02,-6.094404346527587535e+01,-1.189675167903260154e-12,0.000000000000000000e+00,4.929999999999999716e+01,2.167000000000000171e+01,5.000000000000000000e+01
4.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.108235830489195592e+02,-6.082358304891916134e+01,-3.965583893062616120e-13,0.000000000000000000e+00,4.929999999999999716e+01,2.169999999999999929e+01,5.000000000000000000e+01
5.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.106629691604428558e+02,-6.066296916044233001e+01,-5.287445190711303658e-13,0.000000000000000000e+00,4.929999999999999716e+01,2.173999999999999844e+01,5.000000000000000000e+01
6.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.106629691604428558e+02,-6.066296916044285581e+01,-1.740638802152170298e-24,0.000000000000000000e+00,4.929999999999999716e+01,2.173999999999999844e+01,5.000000000000000000e+01
7.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.101409740228935874e+02,-6.014097402289186789e+01,-1.718419686977001410e-12,0.000000000000000000e+00,4.929999999999999716e+01,2.187000000000000099e+01,5.000000000000000000e+01
8.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.101409740228935874e+02,-6.014097402289358740e+01,-5.657076106980817726e-24,0.000000000000000000e+00,4.929999999999999716e+01,2.187000000000000099e+01,5.000000000000000000e+01
9.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.101409740228935874e+02,-6.014097402289358740e+01,-1.862322127865703011e-35,0.000000000000000000e+00,4.929999999999999716e+01,2.187000000000000099e+01,5.000000000000000000e+01
