t,MAN,MV,MVp,MVi,MVd,MVFF,SP,PV,DV
0.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.508164412796166403e+02,-8.581644128011312489e+01,4.964911034065762085e-10,0.000000000000000000e+00,5.429999999999999716e+01,1.673999999999999844e+01,5.000000000000000000e+01
1.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.501739857257098265e+02,-8.517398572570770909e+01,-2.114978074644933571e-12,0.000000000000000000e+00,5.429999999999999716e+01,1.689999999999999858e+01,5.000000000000000000e+01
2.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.506959808632591091e+02,-8.569598086326082864e+01,1.718419686970038835e-12,0.000000000000000000e+00,5.429999999999999716e+01,1.676999999999999957e+01,5.000000000000000000e+01
3.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.500535253093522954e+02,-8.505352530935017796e+01,-2.114978076273736611e-12,0.000000000000000000e+00,5.429999999999999716e+01,1.692999999999999972e+01,5.000000000000000000e+01
4.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.498929114208756062e+02,-8.489291142087508035e+01,-5.287445190767874451e-13,0.000000000000000000e+00,5.429999999999999716e+01,1.696999999999999886e+01,5.000000000000000000e+01
5.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.497724510045181034e+02,-8.477245100451770554e+01,-3.965583893041327730e-13,0.000000000000000000e+00,5.429999999999999716e+01,1.700000000000000000e+01,5.000000000000000000e+01
6.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.496519905881605723e+02,-8.465199058816017441e+01,-3.965583893036976247e-13,0.000000000000000000e+00,5.429999999999999716e+01,1.703000000000000114e+01,5.000000000000000000e+01
7.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.496519905881605723e+02,-8.465199058816057232e+01,-1.305479101615279249e-24,0.000000000000000000e+00,5.429999999999999716e+01,1.703000000000000114e+01,5.000000000000000000e+01
8.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.496519905881605723e+02,-8.465199058816057232e+01,-4.297666448935078893e-36,0.000000000000000000e+00,5.429999999999999716e+01,1.703000000000000114e+01,5.000000000000000000e+01
9.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000000e+01,1.488890746178962843e+02,-8.388907461789376896e+01,-2.511536465581691661e-12,0.000000000000000000e+00,5.429999999999999716e+01,1.721999999999999886e+01,5.000000000000000000e+01
1.000000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.488890746178962843e+02,-8.388907461789628428e+01,-8.268034310202470752e-24,0.000000000000000000e+00,5.429999999999999716e+01,1.721999999999999886e+01,5.000000000000000000e+01
1.100000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.483670794803470017e+02,-8.336707948034528215e+01,-1.718419686977001410e-12,0.000000000000000000e+00,5.429999999999999716e+01,1.735000000000000142e+01,5.000000000000000000e+01
1.200000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.479655447591552502e+02,-8.296554475915392857e+01,-1.321861297680266208e-12,0.000000000000000000e+00,5.429999999999999716e+01,1.744999999999999929e+01,5.000000000000000000e+01
1.300000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.473230892052484933e+02,-8.232308920524637585e+01,-2.114978076283651066e-12,0.000000000000000000e+00,5.429999999999999716e+01,1.760999999999999943e+01,5.000000000000000000e+01
1.400000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.470420149004142729e+02,-8.204201490041334921e+01,-9.253029083791796249e-13,0.000000000000000000e+00,5.429999999999999716e+01,1.767999999999999972e+01,5.000000000000000000e+01
1.500000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.458775642089582334e+02,-8.087756420895439646e+01,-3.833397763259347081e-12,0.000000000000000000e+00,5.429999999999999716e+01,1.796999999999999886e+01,5.000000000000000000e+01
1.600000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.457571037926007307e+02,-8.075710379260033278e+01,-3.965583893150117833e-13,0.000000000000000000e+00,5.429999999999999716e+01,1.800000000000000000e+01,5.000000000000000000e+01
1.700000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.452351086550514765e+02,-8.023510865504975698e+01,-1.718419686978212898e-12,0.000000000000000000e+00,5.429999999999999716e+01,1.812999999999999901e+01,5.000000000000000000e+01
1.800000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.444721926847871600e+02,-7.947219268478464471e+01,-2.511536465587442748e-12,0.000000000000000000e+00,5.429999999999999716e+01,1.832000000000000028e+01,5.000000000000000000e+01
1.900000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.439501975472378774e+02,-7.895019754723615790e+01,-1.718419686985269379e-12,0.000000000000000000e+00,5.429999999999999716e+01,1.844999999999999929e+01,5.000000000000000000e+01
2.000000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.431872815769735894e+02,-7.818728157697107406e+01,-2.511536465587348640e-12,0.000000000000000000e+00,5.429999999999999716e+01,1.864000000000000057e+01,5.000000000000000000e+01
2.100000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.430668211606160583e+02,-7.806682116061566035e+01,-3.965583893106601489e-13,0.000000000000000000e+00,5.429999999999999716e+01,1.867000000000000171e+01,5.000000000000000000e+01
2.200000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.419023704691600187e+02,-7.690237046915618180e+01,-3.833397763257606286e-12,0.000000000000000000e+00,5.429999999999999716e+01,1.896000000000000085e+01,5.000000000000000000e+01
2.300000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.410993010267765726e+02,-7.609930102677392938e+01,-2.643722595361744107e-12,0.000000000000000000e+00,5.429999999999999716e+01,1.916000000000000014e+01,5.000000000000000000e+01
2.400000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.405773058892273184e+02,-7.557730588922559889e+01,-1.718419686985704578e-12,0.000000000000000000e+00,5.429999999999999716e+01,1.928999999999999915e+01,5.000000000000000000e+01
2.500000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.398143899189629735e+02,-7.481438991896045820e+01,-2.511536465587442748e-12,0.000000000000000000e+00,5.429999999999999716e+01,1.948000000000000043e+01,5.000000000000000000e+01
2.600000000000000000e+01,1.000000000000000000e+00,6.500000000000000000e+01,1.392923947814137478e+02,-7.429239478141202824e+01,-1.718419686985175473e-12,0.000000000000000000e+00,5.429999999999999716e+01,1.960999999999999943e+01,5.000000000000000000e+01
