t,MAN,MV,MVp,MVi,MVd,MVFF,SP,PV,DV
0.000000000000000000e+00,1.000000000000000000e+00,4.999999999999999289e+01,1.218256344095731549e+02,-7.182563440997421367e+01,4.010527177144707000e-10,0.000000000000000000e+00,4.929999999999999716e+01,1.896000000000000085e+01,5.000000000000000000e+01
1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.218256344095731549e+02,-7.182563440957315493e+01,1.320274531429189327e-21,0.000000000000000000e+00,4.929999999999999716e+01,1.896000000000000085e+01,5.000000000000000000e+01
2.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.218256344095731549e+02,-7.182563440957315493e+01,4.346373335341869603e-33,0.000000000000000000e+00,4.929999999999999716e+01,1.896000000000000085e+01,5.000000000000000000e+01
3.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.218256344095731549e+02,-7.182563440957315493e+01,1.430835839097907518e-44,0.000000000000000000e+00,4.929999999999999716e+01,1.896000000000000085e+01,5.000000000000000000e+01
4.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.218256344095731549e+02,-7.182563440957315493e+01,4.710343637072724890e-56,0.000000000000000000e+00,4.929999999999999716e+01,1.896000000000000085e+01,5.000000000000000000e+01
5.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.218256344095731549e+02,-7.182563440957315493e+01,1.550655677823939178e-67,0.000000000000000000e+00,4.929999999999999716e+01,1.896000000000000085e+01,5.000000000000000000e+01
6.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.218256344095731549e+02,-7.182563440957315493e+01,5.104793230461491132e-79,0.000000000000000000e+00,4.929999999999999716e+01,1.896000000000000085e+01,5.000000000000000000e+01
7.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.218256344095731549e+02,-7.182563440957315493e+01,1.680509367645973508e-90,0.000000000000000000e+00,4.929999999999999716e+01,1.896000000000000085e+01,5.000000000000000000e+01
8.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.218256344095731549e+02,-7.182563440957315493e+01,5.532274486444890385e-102,0.000000000000000000e+00,4.929999999999999716e+01,1.896000000000000085e+01,5.000000000000000000e+01
9.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.218256344095731549e+02,-7.182563440957315493e+01,1.821237154794410895e-113,0.000000000000000000e+00,4.929999999999999716e+01,1.896000000000000085e+01,5.000000000000000000e+01
